img,figure,caption
8ED4483A-58C6-4F76-BE59-C8CC6DCDB95E.jpeg, Ilustracja 1, 'Tworzenie nowego repozytorium'
0CEEBB8C-29FB-4B85-9932-CEF642777A8A.jpeg, Ilustracja 2, 'Wprowadź nazwę repozytorium „helloworld”'
7A7B0072-71ED-42BD-B985-B0D35CF03A1F.jpeg, Ilustracja 3, 'Początkowe ustawienia (Dodanie pliku README) i potwierdzenie utworzenia nowego repozytorium'
F8DCC7EB-D497-426D-904F-6941E2C4B750.jpeg, Ilustracja 4, 'Nowe repozytorium o nazwie „helloworld” jest teraz utworzone wraz z pojedynczym plikiem (README.md)'
8032B4CC-A9BD-4B4F-8DFB-EBE7326886DE.jpeg, Ilustracja 5, 'Rozpoczęcie przesyłanie plików do repozytorium'
8085E82C-304F-48EE-8AD6-3F941E31860B.jpeg, Ilustracja 6, 'Przeciągnij i upuść pliki\, które mają zostać przesłane. Możesz też kliknąć „wybierz swoje pliki”\, co spowoduje wyświetlenie okna wyboru plików\, w którym można określić pliki do przesłania'
